Accessions,10C,18C,18T,19T,3T,4T,5C,8C
label,C,C,T,T,T,T,C,C
A0A023T424,NA,NA,NA,NA,NA,NA,6.60E-05,NA
A0A024QYX3,NA,2.84E-05,NA,NA,NA,NA,NA,NA
A0A024QZ02,NA,1.66E-05,NA,NA,NA,NA,NA,NA
A0A024QZ30,8.10E-05,1.48E-05,0.000209376,NA,0.000976743,0.000130506,NA,NA
A0A024QZ55,NA,1.51E-05,NA,NA,NA,NA,NA,NA
A0A024QZ68,0.000166175,NA,NA,NA,NA,NA,NA,NA
A0A024QZD1,0.000572332,0.000185018,NA,0.000187058,NA,NA,NA,NA
A0A024QZJ4,2.46E-05,NA,NA,NA,8.22E-05,0.00014197,NA,NA
A0A024QZJ6,2.50E-05,NA,NA,NA,8.37E-05,0.000144461,NA,NA
A0A024QZK7,NA,NA,NA,8.55E-05,NA,NA,NA,NA
A0A024QZN4,NA,7.95E-05,NA,NA,NA,NA,NA,NA
A0A024QZN7,NA,NA,NA,0.00021708,NA,NA,NA,NA
A0A024QZN9,NA,NA,NA,0.000244106,NA,NA,NA,NA
A0A024QZP6,NA,NA,NA,0.000281354,NA,NA,NA,NA
A0A024QZQ2,NA,0.000190631,NA,9.59E-06,NA,NA,NA,NA
A0A024QZT0,NA,NA,NA,0.000264863,NA,NA,NA,NA
A0A024QZZ7,0.010631756,0.004303683,NA,0.006505754,NA,0.010210373,NA,0.028195804
A0A024R017,NA,NA,NA,NA,NA,NA,NA,0.007961771
A0A024R035,NA,NA,NA,NA,NA,NA,0.001328426,NA
A0A024R046,NA,0.000218016,NA,0.000251193,NA,NA,NA,NA
A0A024R091,NA,NA,NA,2.45E-05,NA,NA,NA,NA
A0A024R0C3,NA,NA,7.68E-05,2.93E-05,NA,NA,NA,NA
A0A024R0T8,NA,0.000526533,NA,0.000181585,NA,NA,0.003996389,NA
A0A024R0T9,NA,NA,NA,NA,NA,NA,0.003239781,NA
A0A024R0Y5,NA,NA,NA,9.66E-06,NA,NA,NA,NA
A0A024R0Y6,0.001545614,NA,NA,NA,NA,0.000883868,NA,NA
A0A024R138,NA,NA,NA,5.28E-05,NA,NA,NA,NA
A0A024R163,NA,1.13E-05,NA,1.06E-05,NA,NA,NA,NA
A0A024R1A3,NA,3.96E-05,NA,0.000166987,NA,NA,NA,NA
A0A024R1A4,NA,0.000150577,NA,NA,NA,NA,NA,NA
A0A024R1G8,NA,NA,NA,NA,NA,NA,0.000158798,NA
A0A024R1K7,NA,0.000514826,NA,0.000561609,NA,NA,NA,NA
A0A024R1N1,NA,0.000597015,NA,0.000151228,8.27E-05,NA,NA,NA
A0A024R1N4,NA,2.49E-05,NA,7.29E-05,NA,NA,NA,NA
A0A024R1P2,0.000476348,NA,NA,NA,NA,NA,NA,NA
A0A024R1Q4,NA,NA,NA,NA,NA,NA,0.000165182,NA
A0A024R1Q8,NA,0.000165635,NA,0.000149519,NA,NA,NA,NA
A0A024R1S8,NA,0.000263122,NA,1.60E-05,NA,NA,NA,NA
A0A024R1T5,NA,NA,NA,3.97E-05,NA,NA,NA,NA
A0A024R1T9,NA,NA,NA,2.43E-05,NA,NA,NA,NA
A0A024R1U4,NA,0.000293165,NA,0.000232586,NA,NA,NA,NA
A0A024R1V4,NA,NA,NA,3.69E-05,NA,NA,NA,NA
A0A024R1Y2,NA,NA,NA,2.46E-05,NA,NA,NA,NA
A0A024R1Z6,NA,0.000247367,NA,0.000509203,NA,NA,NA,NA
A0A024R228,NA,0.000340957,NA,0.000687208,NA,NA,NA,NA
A0A024R244,NA,NA,NA,NA,NA,NA,NA,0.000462559
A0A024R258,NA,9.54E-06,NA,NA,NA,NA,NA,NA
A0A024R261,NA,0.00012118,NA,9.10E-05,NA,NA,NA,NA
A0A024R273,NA,NA,NA,NA,NA,NA,NA,0.000479942
A0A024R276,NA,1.87E-05,NA,NA,NA,NA,NA,NA
A0A024R2L6,NA,0.00013605,NA,0.000244097,NA,NA,NA,NA
A0A024R321,2.67E-05,2.25E-05,0.000102511,NA,NA,8.14E-05,NA,NA
A0A024R324,0.001393763,0.000559159,0.001872884,0.000156182,0.001866889,0.000621684,NA,NA
A0A024R326,NA,0.000176104,NA,0.00011733,NA,NA,NA,NA
A0A024R370,NA,4.08E-06,NA,NA,NA,NA,NA,NA
A0A024R371,NA,5.22E-05,NA,NA,NA,NA,NA,NA
A0A024R374,NA,0.00074455,NA,1.73E-05,NA,NA,NA,NA
A0A024R382,NA,NA,NA,1.38E-05,NA,NA,NA,NA
A0A024R384,NA,2.05E-05,NA,NA,NA,NA,NA,NA
A0A024R3E3,NA,0.002722411,NA,0.001012924,NA,NA,0.015025397,NA
A0A024R3I5,NA,NA,NA,7.78E-06,NA,NA,NA,NA
A0A024R3J7,0.000130098,NA,NA,NA,NA,0.000132748,NA,NA
A0A024R3Q0,0.001545614,0.000827824,NA,0.001050105,NA,0.000883868,NA,NA
A0A024R3T8,NA,NA,NA,8.51E-05,NA,NA,NA,NA
A0A024R3W7,NA,0.000142701,NA,0.000100477,NA,NA,NA,NA
A0A024R3X4,0.000159614,0.000252155,0.000598482,0.00085046,NA,NA,NA,NA
A0A024R3Y6,NA,0.000288677,NA,NA,NA,NA,NA,NA
A0A024R418,NA,3.17E-06,NA,NA,NA,NA,NA,NA
A0A024R462,NA,0.000445752,NA,8.57E-05,NA,NA,8.25E-05,NA
A0A024R465,NA,3.51E-06,NA,NA,NA,NA,NA,NA
A0A024R4C0,NA,3.84E-05,NA,NA,NA,NA,NA,NA
